handle,value_created_usd,distribution
ojalaalex,4302.23,initial
proy24,4300.01,initial
yacare555,4278.24,initial
finematics,4276.03,initial
ethereumcn,4244.42,initial
tze42,4231.01,initial
judokick,4224.16,initial
mladenpetronijevic,4208.21,initial
kingjacob,4183.83,initial
pakokrew,4155.61,initial
g-r-a-n-t,4147.60,initial
maxsemenchuk,4138.00,initial
hewigovens,4124.00,initial
jzstern,4120.74,initial
markharding,4118.93,initial
vasa-develop,4076.06,initial
robsecord,4071.83,initial
imerkle,4053.43,initial
andreujuanc,4020.00,initial
xychun,4010.14,initial
matkt,4000.00,initial
carusosa,3999.53,initial
troggy,3978.82,initial
bhargavasomu,3931.17,initial
tomafrench,3910.74,initial
drdgvhbh,3904.17,initial
jespow,3896.00,initial
robin-thomas,3886.30,initial
walidmujahid,3886.11,initial
tezgate,3864.14,initial
julietea,3849.24,initial
zuniswap,3839.07,initial
lebahye,3832.01,initial
merlox,3804.78,initial
kgibb8,3800.00,initial
ivshti,3795.37,initial
daft-wullie,3769.10,initial
mul53,3765.14,initial
azizyano,3764.66,initial
frdra,3717.87,initial
biuxmaster,3702.12,initial
mikery,3680.16,initial
miesz-ko,3674.73,initial
manishoo,3657.10,initial
amsos,3627.59,initial
ckxpress,3614.65,initial
jonsats,3605.16,initial
kyletut,3599.60,initial
mdben1247,3565.34,initial
tspoff,3542.30,initial
pi0neerpat,3536.92,initial
thecydonian,3524.05,initial
pvienhage,3522.10,initial
stefanionescu,3521.97,initial
ntomaino,3513.24,initial
zscole,3510.06,initial
acolytec3,3499.51,initial
dyljm1,3497.21,initial
dekanbro,3487.11,initial
solexplorer,3479.83,initial
liyizhou1975,3427.90,initial
niran,3425.32,initial
bvl13,3411.07,initial
vfatouros,3394.35,initial
graeme-code,3360.84,initial
samcamwilliams,3344.54,initial
leonerichsen,3337.35,initial
rexshinka,3325.49,initial
obernardovieira,3319.80,initial
jordimorris,3297.51,initial
alexwaumann,3288.55,initial
pelsasser,3285.90,initial
gturkoglu,3263.70,initial
graham-u,3245.16,initial
niktrix,3239.37,initial
meronym,3201.00,initial
zeitgeistf,3198.72,initial
raphalice,3184.68,initial
tomkysar,3175.00,initial
crystalpony,3092.66,initial
pbteja1998,3076.20,initial
nbanmp,3075.45,initial
zallarak,3074.62,initial
vporton,3072.95,initial
stevegachau,3070.28,initial
marketsclear,3068.40,initial
duartefelipe,3058.19,initial
distributeddoge,3051.42,initial
maurelian,3046.83,initial
touhonoob,3046.30,initial
mfinestone,3040.72,initial
skyminert,3017.35,initial
salanki,3008.94,initial
sarangparikh22,3000.21,initial
frostiq,3000.00,initial
emansipater,2993.17,initial
iainnash,2978.85,initial
srisankethu,2970.00,initial
ligi,2968.94,initial
fzeoli,2963.35,initial
zu-ctrl,2946.32,initial
btcalchemist,2938.89,initial
nglglhtr,2930.79,initial
pierrickgt,2929.86,initial
npashuk,2921.00,initial
pumpkingwok,2910.99,initial
daneok1,2899.70,initial
coderberry,2894.88,initial
weemeewee,2888.13,initial
peterbitfly,2879.39,initial
naszam,2870.23,initial
jrhea,2868.19,initial
kichjang,2862.34,initial
ringaile,2861.68,initial
benjaminongkitwei,2850.00,initial
jbaylina,2849.99,initial
uivlis,2832.65,initial
dhruvluci,2822.81,initial
molecula451,2811.82,initial
psudoanon,2807.69,initial
owans,2804.57,initial
snaketh4x0r,2804.24,initial
akshay-ap,2797.32,initial
sebastiantf,2791.31,initial
alexmasmej,2770.63,initial
edconhq,2761.39,initial
cslarson,2737.40,initial
luksonetwork,2725.24,initial
levalleux-ludo,2701.75,initial
birdfly2014,2658.62,initial
fiskantes,2644.36,initial
erickpinos,2638.65,initial
anshumanv,2633.93,initial
keviinfoes,2628.15,initial
papa-raw,2622.43,initial
subramanianv,2620.56,initial
moranthomas,2620.52,initial
jpkcambridge,2619.27,initial
0mkara,2600.00,initial
leibniz137,2599.45,initial
nickerrant,2584.88,initial
peara,2580.93,initial
sirsuhayb,2579.42,initial
wimel,2568.23,initial
samgos,2562.97,initial
lalleclausen,2537.94,initial
jwbitcoins,2537.70,initial
santteegt,2520.55,initial
ruthcatlow,2518.87,initial
mcgrupp1186,2517.41,initial
kaythxbye,2515.82,initial
abvavgjoe,2515.78,initial
coejoder,2512.73,initial
muskaankalra24,2502.14,initial
intnick,2501.00,initial
notlesh,2501.00,initial
moarsel,2500.00,initial
ramakrishna2020,2500.00,initial
sknampally,2500.00,initial
followthechain,2487.92,initial
bild96,2486.79,initial
edsonayllon,2471.48,initial
https-github-com-satoshibram,2464.16,initial
anonusergitcoin69-sjdrxdhcqx0pfnu74z3b8ap1ulzo7tqh,2448.12,initial
adambancor,2447.86,initial
lychees,2422.43,initial
kesisebkgrqtwovvhn,2413.80,initial
dereksilva,2399.98,initial
vrde,2394.92,initial
cddelta,2394.22,initial
jvluso,2392.15,initial
eccheung4,2387.52,initial
ilblackdragon,2376.01,initial
luggis,2375.00,initial
shrey572,2375.00,initial
cryptobanjo,2372.15,initial
decanus,2364.52,initial
gilsoncarlos,2363.79,initial
yuejuan-96,2347.65,initial
adibas03,2346.62,initial
barrasso,2345.46,initial
fluffays,2343.87,initial
wimanesti,2343.24,initial
anonusergitcoin3-lv2nyn38afw3ijrwojyhlxuq1bqzbzug,2340.75,initial
anonusergitcoin68-nqok7k0fgqxs6l03c3ykckrpbatfoxlu,2340.75,initial
mounibec,2310.04,initial
alex-nugget,2302.43,initial
janus,2286.46,initial
kushmd,2285.32,initial
jimmcnelis,2281.23,initial
substreight,2278.30,initial
leosebastian,2273.82,initial
blockchainresearch,2269.34,initial
oscoin,2268.33,initial
vpepo,2248.89,initial
poiresel,2200.74,initial
perseverance,2193.75,initial
swarooph,2179.06,initial
jwojciechowski,2178.45,initial
pisuthd,2176.67,initial
gnosisecosystemfund,2162.88,initial
okwme,2160.49,initial
burrrata,2160.27,initial
excerebrose,2139.76,initial
martynasadomaitis,2124.90,initial
bruce-jun,2114.22,initial
splix,2108.47,initial
cyberbono3,2100.00,initial
simondlr,2100.00,initial
keysigntx,2090.00,initial
hammadtq,2081.21,initial
macalinao,2076.96,initial
itamarl,2072.16,initial
aturx,2071.84,initial
scottrepreneur,2050.52,initial
wip-abramson,2034.79,initial
kirillberesnev,2025.94,initial
skywinder,2022.11,initial
anonusergitcoin63-fbxrwi4cvsuebziaezwj3x0h9h8keg9g,2020.66,initial
andyzhu87,2015.88,initial
mintcloud,2013.00,initial
s1na,2013.00,initial
