handle,user_id,total,active_user,kernel,GMV
pixelantdesign,-1386,14478316637061665259520,2423090000000000196608,295716637061666635776,11759509999999999016960
benjaminion,17668,12428969999999000641536,1146710000000000065536,0,11282259999998999527424
jtraversa,88781,14298058913656998985728,857785799999000018944,2196753113657999884288,11243520000000000000000
tomafc330,67218,11355129099998000578560,277899099999000002560,0,11077229999999001034752
bshater,125337,10851879999999999737856,11180000000000000000,0,10840699999999999606784
headiextb,125333,10851879999999999737856,11180000000000000000,0,10840699999999999606784
kingofitall,125211,10863062599999999180800,22362600000000000000,0,10840699999999999606784
xx2122,125245,10851879999999999737856,11180000000000000000,0,10840699999999999606784
rekpero,60665,11067939099998999805952,261099100000000016384,0,10806839999999000969216
lorelei1,72477,11985570000000000196608,1226950000000000065536,0,10758620000000000655360
haydenadams,26637,10840565799999999311872,189875800000000000000,0,10650689999999999148032
gnosispm,110559,10684125700000000770048,33565700000000000000,0,10650560000000000000000
manualzuru,72635,12332139936630999875584,1105480000000000000000,633679936631999954944,10592979999998999527424
iamdefinitelyahuman,63553,10667147699997999366144,223917699999000002560,0,10443229999998999461888
pipermerriam,26,10640182299999999098880,282842300000000016384,0,10357340000000000655360
binancefellowshipgrants,59287,10511069600000000393216,157629600000000000000,0,10353439999999998951424
atlanticcrypto,52844,10287998900000000049152,59548900000000000000,0,10228450000000000196608
yoavw,74023,10270771999999000576000,55692000000000000000,0,10215079999998999396352
harshrajat,74648,12303319999997999579136,2157989999998999986176,0,10145329999998999330816
tsnark,85217,10957804120195999989760,423657500000000016384,464696620196999921664,10069449999998999592960
solexplorer,-62073,11309660000000000655360,1293980000000000131072,0,10015680000000000000000
zoek1,2358,11026420000000000917504,1037150000000000065536,0,9989269999999999016960
anneconnelly,70927,11144916765740999114752,659883499999999950848,675923265740999884800,9809109999999999016960
economicsdesign,129477,9749330000000000720896,10900000000000000000,0,9738430000000000851968
calbeans,107881,9512292800000000262144,77172800000000000000,0,9435120000000000524288
5chdn,26791,9561386599999000805376,126336600000000000000,0,9435049999998999592960
jas0n-f,56218,9412008799999000313856,123838800000000000000,0,9288169999998999592960
makoto,4324,10179649799999000150016,929109799999000018944,0,9250540000000000131072
gregthegreek,53412,9183063099998999674880,49573100000000000000,0,9133489999999000379392
briangu33,72907,9339507599999000117248,228937600000000000000,0,9110569999998999592960
directdimsim,66962,9769190199998000660480,682120199999000018944,0,9087069999999000510464
fireeyesxyz,151528,8843040000000000000000,0,0,8843040000000000000000
homelesswhale,145196,9268209900000000344064,425169900000000016384,0,8843040000000000000000
lmrank,143861,8864843599999999672320,21803600000000000000,0,8843040000000000000000
donateeth,91635,8867891300000000376832,26031300000000000000,0,8841860000000000393216
anonusergitcoin6-grn3mhi0pkhr4bpqdae4nndytq37shdp,86129,8811381699999999983616,13691700000000000000,0,8797690000000000458752
anonusergitcoin70-0y3ifc1elzfn8iupxypm3geixwsex6vb,86193,8811381699999999983616,13691700000000000000,0,8797690000000000458752
anonusergitcoin82-xqe9cxgu1ttaukqle7uair38r9bpnp7j,86205,8811381699999999983616,13691700000000000000,0,8797690000000000458752
anonusergitcoin36-parklqhclkyzx4xp6ycehrcfmbwryirt,86159,8811381699999999983616,13691700000000000000,0,8797690000000000458752
princenoctisff,125284,8683739999999000313856,11180000000000000000,0,8672559999999000182784
mzargham,60099,9929899999997999448064,1258499999999000051712,0,8671399999999000444928
trustlessstate0x,49909,9208256099999000035328,598766100000000049152,0,8609489999999000379392
darbsllim,96328,8584819999998999527424,11760000000000000000,0,8573059999999000051712
zcstarr,20921,8566394999998999691264,23245000000000000000,0,8543149999998999986176
rockmanr,66675,10112039999997999054848,1682969999999000117248,0,8429069999998999986176
mfinestone,72844,12219539999998999527424,3831800000000000262144,0,8387739999999000313856
itsbdell,59836,8300969999998999592960,0,0,8300969999998999592960
shazow,31982,8350395999999000313856,84846000000000000000,0,8265549999998999986176
vbstreetz,74811,8744595600000000458752,500975600000000000000,0,8243620000000000393216
vasa-develop,5628,9361571482638000062464,619788199999000018944,506943282638999977984,8234840000000000262144
ivshti,20531,8427706499998999904256,232436499999000002560,0,8195269999999999541248
xychun,89949,8385823699999999918080,245033699999999983616,0,8140790000000000065536
jthiel78,125248,8552547599998999592960,414547600000000000000,0,8137999999999000182784
siddharth-j,62929,8192465599998999920640,70545599999000002560,0,8121920000000000000000
apesznz,124968,8144695299999999721472,44725300000000000000,0,8099970000000000196608
samparsky,526,8347723599999999672320,289483600000000000000,0,8058240000000000000000
nasehim7,10974,8049129699998999511040,22149700000000000000,0,8026979999999000051712
