Handle,Share of Active Users,Tokens Allocated
jiegege888,0.02850%,872.1434
levyleex,0.02850%,872.1434
nick2021213,0.02850%,872.1434
alexdompro,0.02850%,872.1434
trx-repo,0.02850%,872.1434
pedrouid,0.02840%,870.3517
n3r01n,0.02840%,869.1835
harmonylion,0.02830%,865.1382
aswilson13,0.02830%,864.991
ben19761,0.02820%,864.0803
ansteadm,0.02820%,863.9199
jamie-anson,0.02820%,861.4816
birdviewman,0.02810%,861.2416
vincebao,0.02810%,861.2416
bhdx1,0.02810%,861.2416
czzlzjj13zaj,0.02810%,861.2416
yanivtal,0.02810%,860.6667
jtraversa,0.02800%,857.7858
veox,0.02790%,853.1804
lucasvo,0.02790%,853.024
onkelskrue,0.02790%,852.2475
evanmue,0.02780%,851.5541
mdben1247,0.02780%,850.4816
panda-hk,0.02780%,850.3398
rising337,0.02780%,850.3398
chuntianzianali,0.02780%,850.3398
1.39E+10,0.02780%,850.3398
ppunktw,0.02770%,848.4922
0xgabi,0.02770%,847.7757
scott-sanderson,0.02760%,845.9099
reneil1337,0.02760%,845.4127
harithk,0.02760%,844.1882
typto,0.02760%,844.1068
lenkla,0.02750%,841.7315
echolon166,0.02750%,841.5181
richajoshi123,0.02750%,840.6558
soolnew,0.02740%,839.438
showyilu,0.02740%,839.438
ndyhuy1,0.02740%,839.438
taisen405512,0.02740%,839.438
iznake,0.02740%,839.438
kickksky,0.02740%,839.438
phonne,0.02740%,839.438
dv8silencer,0.02740%,839.2577
alexmasmej,0.02740%,837.9778
irhonin,0.02730%,836.5812
hexloveseth,0.02730%,835.3628
charles-jia,0.02730%,835.03
guldara,0.02720%,831.9773
bulgarslayer,0.02710%,828.5362
bjd1977,0.02710%,828.5362
feiniao1987,0.02710%,828.5362
zengsheng6688,0.02710%,828.5362
dehongg,0.02710%,828.5362
ddchain,0.02710%,828.5362
alexiskefalas,0.02680%,820.7142
computernooo,0.02680%,820.4932
richchris888,0.02670%,818.1935
leafs4life,0.02670%,817.9432
nazhixiong,0.02670%,817.6344
lreanimatorl,0.02670%,817.6344
ck2018,0.02670%,817.6344
zentra170,0.02670%,816.7596
shuaishuaidelaohu,0.02660%,813.6149
pinkiebell,0.02640%,806.8629
yongone,0.02640%,806.7326
crimsonkane771,0.02640%,806.7326
qianxiaoer1,0.02640%,806.7326
klorzi,0.02640%,806.7326
trentmc,0.02620%,803.1669
iamchijamz,0.02620%,802.7131
fcrcf,0.02610%,799.9972
stevenjnpearce,0.02610%,799.9634
perfidian,0.02610%,799.8189
projectequal,0.02610%,799.7945
youngkidwarrior,0.02610%,797.3575
gregg-first,0.02600%,795.8308
rising338,0.02600%,795.8308
austinpost1,0.02600%,795.8308
fernandomartinelli,0.02590%,793.8716
daxnagtegaal,0.02580%,790.1234
0xtycoon,0.02580%,788.7336
thisboyongithub,0.02580%,788.3557
kojot841,0.02570%,784.929
2.58E+08,0.02570%,784.929
supermcw,0.02570%,784.929
kemble17173,0.02570%,784.929
myzh,0.02570%,784.929
forrst,0.02570%,784.929
bgg8888,0.02560%,784.6423
kamescg,0.02560%,782.0983
pyggie,0.02550%,779.2605
aliatiia,0.02550%,778.9446
blackswan122,0.02540%,777.2878
developerfred,0.02540%,776.1132
laserbach,0.02530%,774.0907
bbismm,0.02530%,774.0272
magicalkk,0.02530%,774.0272
scarlett-yxh,0.02530%,774.0272
gfsdfgs4,0.02530%,774.0272
mrchen0629,0.02530%,774.0272
liyuelongquxiu,0.02530%,774.0272
souptacular,0.02530%,772.8607
dorgjelli,0.02520%,770.0143
jacobwillemsma,0.02520%,769.8269
arthur0x,0.02510%,768.5008
stevenskyzhu,0.02510%,766.5534
androolloyd,0.02500%,764.8958
ghsuper,0.02500%,764.846
btceth2,0.02500%,764.5351
xiaojie-666,0.02500%,764.2436
envoy2009,0.02500%,764.2297
doveywan,0.02490%,763.1254
johnzhanghello,0.02490%,763.1254
frankchen07,0.02490%,762.3661
action-oss,0.02460%,752.2237
xlmrjun,0.02460%,752.2237
poetong,0.02460%,752.2237
pastguy,0.02460%,752.2237
yvonnema,0.02460%,752.2237
anajolsson,0.02450%,750.72
ztnark,0.02450%,750.046
suburbandad,0.02450%,750.0223
tiau,0.02450%,748.1943
rachblondon,0.02440%,747.9264
mysticryuujin,0.02440%,745.4859
shixianli158,0.02430%,743.0424
slgraham,0.02430%,742.9155
jschiarizzi,0.02430%,742.3754
astraman7,0.02420%,741.3219
peterpan585,0.02420%,741.3219
1.57E+10,0.02420%,741.3219
w180486168,0.02420%,741.3219
missflowers1618,0.02420%,741.3219
davis-ramsey,0.02410%,738.7653
marczeller,0.02400%,735.3265
thowar2,0.02400%,734.515
traviagio,0.02400%,733.9211
klinko88,0.02400%,733.7685
jmiehau,0.02390%,732.2231
trtwarrior,0.02390%,731.2804
ethello,0.02390%,730.4201
shenqy3,0.02390%,730.4201
pamilarau,0.02390%,730.4201
yn6618,0.02390%,730.4201
ivanfomo,0.02390%,730.4201
realworld-north,0.02390%,730.4201
wgn371,0.02390%,730.4201
ncerovac,0.02370%,726.7088
annagrechko161,0.02360%,723.3449
johngrantuk,0.02360%,722.8827
writeprovidence,0.02360%,721.6321
bohus-eth,0.02350%,719.8002
vicky-xue,0.02350%,719.5183
angie-agb,0.02350%,719.5183
iankinjohn,0.02350%,719.5183
arunphilips,0.02350%,719.5156
authereum-dev,0.02350%,718.2382
kdm5126,0.02350%,717.7375
jac983,0.02350%,717.6981
audsssy,0.02330%,713.3649
nigdaemon,0.02330%,712.9179
martin112112,0.02330%,712.1408
jimjimvalkema,0.02330%,712.0974
datakarima,0.02330%,711.824
mohank1012,0.02330%,711.5589
karbonbased,0.02330%,711.5196
aj07,0.02320%,711.0205
ajsantander,0.02320%,709.4652
okwme,0.02320%,709.1822
chefmoyu,0.02320%,708.6165
candyyii,0.02320%,708.6165
crab3,0.02320%,708.6165
puppyi,0.02320%,708.6165
kensonlin2,0.02320%,708.6165
hwz999,0.02320%,708.6165
likocici,0.02320%,708.6165
t0betterlife,0.02320%,708.6165
mybit-coordinator,0.02310%,708.0826
seanwbren,0.02310%,706.7048
bitsikka,0.02310%,706.2977
greg-johns,0.02310%,706.1701
knocte,0.02300%,705.0139
isaac-art,0.02300%,703.3697
amsos,0.02300%,702.9593
cslarson,0.02290%,702.0569
i-van-kaz,0.02290%,701.7956
lucadgtrip,0.02290%,701.5813
michaelcohen716,0.02290%,699.7575
kelsos,0.02290%,699.6134
hilmarx,0.02290%,699.5337
ryanberckmans,0.02280%,698.2785
maozi3,0.02280%,697.7147
danie682711,0.02280%,697.7147
muzmui,0.02280%,697.7147
zengdeliang1990,0.02280%,697.7147
erhenglu,0.02280%,697.7147
jordanlyall,0.02270%,694.9692
nwm1337,0.02270%,693.9626
kunfengx,0.02270%,693.1168
buidlr,0.02260%,692.9027
figofinozeros,0.02260%,692.683
terrycode,0.02250%,689.3287
barnabemonnot,0.02250%,688.6266
birgibinugi,0.02250%,688.0986
davbre,0.02250%,687.0195
fpning0601,0.02240%,686.8129
ff8997249,0.02240%,686.8129
markbq,0.02240%,686.8129
1.09E+08,0.02240%,686.8129
hz-rotatingblock,0.02240%,686.8129
tuanla02-03,0.02240%,686.8129
slayerizedkoala,0.02240%,686.8129
aawww777,0.02240%,686.8129
vfatouros,0.02230%,683.5609
jessicazartler,0.02230%,683.1836
directdimsim,0.02230%,682.1202
tima-t,0.02220%,679.6269
tbenr,0.02220%,678.7811
didoge,0.02220%,678.7423
shakks,0.02220%,678.4748
temidayore,0.02210%,677.6317
denizkyber,0.02210%,676.9159
sushanth3366,0.02210%,676.7714
onemedicine,0.02210%,676.1906
qq554172,0.02210%,675.9111
ushukajsh,0.02210%,675.9111
ekkochan,0.02210%,675.9111
zhoumengyao2,0.02210%,675.9111
baoliemiao,0.02210%,675.9111
futongxue,0.02210%,675.9111
kenny-888,0.02210%,675.9111
cryptohormone,0.02210%,675.9111
xingkongampl,0.02210%,675.9111
