Handle,Share of Active Users,Tokens Allocated
cryptolamer,0.02120%,649.4966
daorecords,0.02110%,646.7493
marcosmg,0.02110%,646.1481
rkalis,0.02110%,645.8641
lkngtn,0.02110%,645.3793
tombtc123,0.02110%,644.9263
jeromeloo,0.02100%,643.2057
kddddddd,0.02100%,643.2057
lht41319,0.02100%,643.2057
jasonsun1004,0.02100%,643.2057
1.31E+10,0.02100%,643.2057
littlekfc,0.02100%,643.2057
rexshinka,0.02100%,642.826
avive,0.02100%,641.4162
superglow,0.02090%,640.162
simondlr,0.02080%,637.7329
5fiftyseven7,0.02080%,635.7386
pg024,0.02070%,633.4955
changfan1311,0.02070%,633.1425
3reps,0.02070%,632.5934
woyaofacailxy,0.02070%,632.3039
ulyssesxc,0.02070%,632.3039
joincc,0.02070%,632.3039
jasonlai0824,0.02070%,632.3039
zhangtgithub,0.02070%,632.3039
cryptobitguru,0.02070%,632.3039
allenwk,0.02070%,632.3039
liaowang2011,0.02070%,632.3039
wildmolasses,0.02070%,632.2507
mussols,0.02070%,632.2241
adrien-be,0.02070%,632.1475
dydymoon,0.02070%,631.9292
manek93,0.02060%,630.6693
tomafrench,0.02060%,630.329
sebastiantf,0.02060%,629.8707
samscalet,0.02060%,629.4402
johannbarbie,0.02060%,629.0079
gilsoncarlos,0.02050%,628.1765
carlbeek,0.02050%,627.5302
emansipater,0.02050%,627.5023
sebohe,0.02050%,627.3525
vdg0,0.02050%,625.9529
thelostone-mc,0.02040%,624.0054
cryptodexter,0.02040%,623.9613
huangnanlv,0.02040%,623.6671
nikitamashkov,0.02040%,623.4046
tyndallm,0.02040%,623.3
otpyrcevolution,0.02040%,623.1227
andrewkeysconsensys,0.02030%,621.9031
tihualong,0.02030%,621.4021
hyun0208,0.02030%,621.4021
6.26E+08,0.02030%,621.4021
captainwxd,0.02030%,621.4021
vbuterin,0.02030%,620.4691
hammadj,0.02030%,620.028
vasa-develop,0.02030%,619.7882
kaythxbye,0.02010%,616.4192
unvelievable,0.02010%,616.4192
markoprljic,0.02010%,614.5687
hanyu0001,0.02000%,612.2209
lige111,0.02000%,612.2209
kichjang,0.02000%,611.0871
tok1t4n1k0,0.02000%,611.0473
rywlsrkd,0.02000%,610.5004
alanxing,0.02000%,610.5004
franky1022,0.02000%,610.5004
pastboy,0.02000%,610.5004
luosha110999,0.02000%,610.5004
whunmr,0.02000%,610.5004
jifeng1331,0.02000%,610.5004
saltednutz825,0.02000%,610.5004
andreyvelde,0.02000%,610.5004
xibot,0.01990%,610.1616
lucawint,0.01990%,608.7564
herculeeza,0.01990%,608.4989
nikhil1415926,0.01990%,608.0921
sirlupinwatson1,0.01980%,607.1871
nichanank,0.01980%,607.0066
wmpea,0.01980%,605.9018
isokasakissoja,0.01980%,605.8716
pershingcube,0.01980%,605.7392
dmvt,0.01980%,605.4852
cryptochad,0.01980%,604.7669
kentgustavson1,0.01980%,604.4638
roninkaizen,0.01980%,604.4388
fvictorio,0.01970%,603.0353
nkennethk,0.01970%,602.182
da2ja3,0.01970%,602.1144
oovg,0.01970%,601.3551
cindythuem,0.01970%,601.3191
disruptionjoe,0.01960%,600.7408
js139240221,0.01960%,600.4372
denhampreen,0.01960%,600.379
1.31E+10,0.01960%,600.1576
todd-zhaoge,0.01960%,599.5986
320nvwa,0.01960%,599.5986
baniywen,0.01960%,599.5986
zz-ybb,0.01960%,599.5986
shimoranya,0.01960%,599.5986
l-kh,0.01960%,599.4244
trustlessstate0x,0.01960%,598.7661
suhailgme,0.01960%,598.5756
miesz-ko,0.01960%,598.4565
shawnharmsen,0.01950%,598.0329
remyroy,0.01950%,597.0736
ferranrego,0.01950%,596.0127
vporton,0.01940%,595.1186
cypherbadger,0.01940%,594.827
jakumalu,0.01940%,594.0813
eliescampo,0.01940%,592.3054
manimechian,0.01930%,591.9316
macguyvar,0.01930%,591.3766
ell70,0.01930%,590.4173
crn-maximizer,0.01930%,589.8326
cky113,0.01930%,589.2558
solitudeapp,0.01930%,589.2558
lefterisjp,0.01920%,588.9866
circuitrelay,0.01920%,588.7417
vincenth520,0.01920%,588.6968
rmliu13,0.01920%,588.6968
yusleep,0.01920%,588.6968
pipiluvv,0.01920%,588.6968
zhenboshi,0.01920%,588.6968
ly-1818,0.01920%,588.6968
yasagik,0.01920%,588.6968
jakezhang00312,0.01920%,588.6968
wd8438,0.01920%,588.6968
stevezhang11,0.01920%,588.6968
henzaozhiqiande,0.01920%,588.6968
dannydesert,0.01920%,587.4545
davidiach,0.01920%,586.7769
raphael-mazet,0.01910%,583.535
siriustsou,0.01910%,583.4684
freeyao,0.01900%,582.3838
apguerrera,0.01900%,580.5193
rockfridrich,0.01890%,578.9879
kweiss,0.01890%,578.0769
freddmannen,0.01890%,577.886
zhugewulongge,0.01890%,577.795
cc999999,0.01890%,577.795
a9261288,0.01890%,577.795
8.61E+08,0.01890%,577.795
jeeyung3,0.01890%,577.795
152wmq,0.01890%,577.795
arclytek,0.01890%,577.795
nianhuilipni-c,0.01890%,577.795
evgeniuz,0.01880%,576.7176
bwtimmermans,0.01880%,576.7114
ykplayer8,0.01880%,574.1607
mbeacom,0.01870%,573.2534
amy-jung,0.01870%,572.5734
0xtaosu,0.01860%,570.0519
developerkevin,0.01860%,568.6609
eriksuazo95,0.01860%,568.5909
viraja1,0.01860%,568.1137
marketsclear,0.01850%,567.4588
dibscrypto,0.01850%,566.8932
w2870056,0.01850%,566.8932
damoncrypto,0.01850%,566.8932
can7766,0.01850%,566.8932
fengwujian,0.01850%,566.8932
eyurtyurt,0.01850%,566.8932
maozi4,0.01850%,566.8932
noly-zhang,0.01850%,566.8932
roaringleapard,0.01850%,566.8932
blcold,0.01850%,566.8932
stopstart,0.01850%,566.8329
dangte,0.01850%,566.2568
ntomaino,0.01850%,565.1065
0xkiwi,0.01850%,564.6755
ddn12345,0.01850%,564.5943
udembapcee,0.01840%,564.0062
jasoons,0.01840%,562.1115
cryptoouf-blog,0.01840%,561.8645
ezraweller,0.01840%,561.819
4.17E+08,0.01830%,561.1531
chalidbdb,0.01830%,560.0525
enrbh,0.01830%,558.4545
ve-p,0.01820%,558.3091
lamboshinakaghini,0.01820%,558.2068
chainlinkgod,0.01820%,557.2746
fdivan,0.01820%,555.9914
jorkang,0.01820%,555.9914
yusangsama,0.01820%,555.9914
lei-xuanxiao,0.01820%,555.9914
gejiliang,0.01820%,555.9914
1.86E+10,0.01820%,555.9914
unclecatlee,0.01820%,555.9914
lee51525125,0.01820%,555.9914
gragra11,0.01820%,555.9914
pvieira24,0.01820%,555.8493
troggy,0.01810%,555.1188
eccheung4,0.01810%,554.6214
leontodd,0.01810%,553.1873
bneiluj,0.01800%,550.5709
dobrokhvalov,0.01800%,550.358
laurenluz,0.01800%,550.2513
oisinkyne,0.01800%,549.7896
diablosecure,0.01790%,549.0946
hcd7,0.01790%,546.8102
barrasso,0.01790%,546.2931
cowsclaw,0.01790%,546.2847
levash0v,0.01780%,546.2077
jdm512,0.01780%,545.7236
prchain,0.01780%,545.0896
rothor466,0.01780%,545.0896
gfenney,0.01780%,545.0896
8zalz,0.01780%,545.0896
twm1986,0.01780%,545.0896
abmtf,0.01780%,545.0896
tangyanhong123,0.01780%,545.0896
hungdang269,0.01780%,545.0896
contreus,0.01780%,545.0896
jy04668677,0.01780%,545.0896
brentanon,0.01780%,545.0896
windsings,0.01780%,545.0896
tianyizheng00,0.01780%,545.0896
cayoline,0.01780%,545.0896
amosunht,0.01780%,545.0896
jnyang2020,0.01780%,545.0896
sbuljac,0.01780%,544.8061
ffidan61,0.01770%,542.0097
machael-lcg,0.01770%,541.9304
posedonius,0.01770%,541.0701
razgraf,0.01770%,540.24
jan-miksik,0.01760%,538.1928
loganbek,0.01760%,537.4433
rlholmes38,0.01750%,536.4673
tml6688,0.01750%,536.4241
lemogras,0.01750%,536.2582
songm1ng,0.01750%,535.9084
nahbur,0.01750%,535.0119
uxinlei,0.01750%,534.1878
l15103518421,0.01750%,534.1878
finn5107,0.01750%,534.1878
loukaiyang666,0.01750%,534.1878
barceguo,0.01750%,534.1878
leechunhao2000,0.01750%,534.1878
dtsinlinx,0.01750%,534.1878
dengweiwei1993,0.01750%,534.1878
qiqi111111,0.01750%,534.1878
hibo096,0.01750%,534.1878
d10r,0.01740%,533.6671
niktak11,0.01740%,533.0713
igorline,0.01740%,532.2045
wimel,0.01740%,531.039
thibauld,0.01730%,530.6087
hibero,0.01730%,529.6301
shanefontaine,0.01730%,528.2483
lo0p,0.01720%,526.8221
a747996286,0.01720%,526.7272
megacrytobunny,0.01720%,525.8018
gyaebay,0.01720%,525.0066
nichnachnoch,0.01710%,524.5614
manyjeans,0.01710%,524.3271
dwyerbrent,0.01710%,524.1538
jbradach,0.01710%,523.8451
duanmuyoushang,0.01710%,523.286
bearyyy,0.01710%,523.286
zhangzhonghao1,0.01710%,523.286
zbtoot,0.01710%,523.286
yt7260,0.01710%,523.286
mxl0105,0.01710%,523.286
wangss521,0.01710%,523.286
ninalisovets3,0.01710%,523.286
tianye19881209,0.01710%,523.286
bitcoinjohnny,0.01710%,523.286
waiwaihaiwaiwai,0.01710%,523.286
jabyl,0.01710%,523.1185
chrischinchilla,0.01700%,521.2393
atomicnuclei,0.01700%,520.7129
thomin1,0.01700%,520.3003
ivanmolto,0.01700%,519.9024
evanz13,0.01700%,519.6658
mapleleafcap,0.01700%,519.5244
shengchaoding,0.01700%,519.2665
woyaofacaiss,0.01700%,519.2665
tarasj-dev,0.01700%,519.2665
villanuevawill,0.01690%,518.3727
bakurtz,0.01690%,517.9284
aaronlovescrypto,0.01690%,517.5314
gspoosi,0.01690%,516.4137
voskcoin,0.01690%,516.1073
msagansk,0.01680%,514.6387
zhangjihang,0.01680%,514.1048
witheng,0.01680%,514.1048
mateodaza,0.01680%,513.8057
seichris,0.01680%,513.1995
amohist,0.01680%,512.9433
caiklaus,0.01680%,512.6638
ccuddles,0.01670%,512.3842
justlikeeth,0.01670%,512.3842
hawanaxi,0.01670%,512.3842
chenyinzao,0.01670%,512.3842
bykbykur,0.01670%,512.3842
hjj19940503,0.01670%,512.3842
lideyuan,0.01670%,512.3842
liwei201607,0.01670%,512.3842
alisonkk,0.01670%,512.3842
shenwilly,0.01670%,511.696
mickdegraaf,0.01670%,511.5107
skmiskmi,0.01670%,510.7303
anshumanv,0.01670%,510.29
nelsonmckey,0.01660%,508.9551
flakoubay,0.01660%,508.8825
molecula451,0.01660%,507.9518
keysigntx,0.01660%,507.2928
reverseacid,0.01660%,506.8732
kesisebkgrqtwovvhn,0.01660%,506.6741
nazariyv,0.01650%,506.1663
inlak16,0.01650%,505.6874
nexrules,0.01650%,505.4679
mattybgits,0.01650%,505.0159
zelezo,0.01640%,503.203
stephenpan,0.01640%,503.203
miguelzf,0.01640%,503.1596
1.58E+10,0.01640%,503.1596
triplespeeder,0.01640%,502.9407
lu1-tothemoon,0.01640%,502.0415
caseyryback1,0.01640%,502.0415
winny399,0.01640%,501.4824
wangyidong3,0.01640%,501.4824
jasonjune888,0.01640%,501.4824
ggdader,0.01640%,501.4824
mnthawk,0.01640%,501.4824
maozi8,0.01640%,501.4824
vicoin88,0.01640%,501.4824
catorpilor,0.01640%,501.4824
laosan1988,0.01640%,501.4824
sancon-eric,0.01640%,501.4824
fxyfeier,0.01640%,501.4824
talamazya,0.01640%,501.4824
peterbitfly,0.01640%,501.1741
lorena1974,0.01640%,501.1404
vbstreetz,0.01640%,500.9756
dazuck,0.01640%,500.4119
moose-code,0.01630%,498.7196
josjo80,0.01630%,498.5065
djosey,0.01620%,496.835
ryanchrypto,0.01620%,496.3485
darzyx,0.01620%,494.9198
s4ndxyz,0.01610%,494.0218
taarushv,0.01610%,493.6839
icebergyy,0.01610%,493.4434
walidmujahid,0.01610%,491.7302
shawnyetothe,0.01610%,491.6335
sk123sk,0.01610%,491.4192
99218306,0.01600%,490.5806
tracy1014,0.01600%,490.5806
xujun1234,0.01600%,490.5806
nguyenvi267,0.01600%,490.5806
zdfgoogle,0.01600%,490.5806
brambumbes,0.01600%,490.5806
alvinhung,0.01600%,490.5806
yuanxu251147,0.01600%,490.5806
zeye,0.01600%,490.5806
shi9822,0.01600%,490.5806
rojosnow,0.01600%,490.2078
jb0mb,0.01600%,490.0023
phabc,0.01600%,489.9649
meequal,0.01600%,489.5782
ghettodev,0.01600%,488.7196
iviangita,0.01590%,487.9853
banteg,0.01590%,487.9671
pumpkingwok,0.01590%,486.2173
lcusack,0.01590%,485.9754
overanalyser,0.01590%,485.8607
branciard,0.01590%,485.6989
ecrivaine,0.01580%,484.2622
jackchung,0.01580%,483.0763
phillipfickl,0.01580%,482.9137
andersondb8,0.01580%,482.7229
pjindal,0.01580%,482.541
a2be,0.01580%,482.2452
udezee1,0.01570%,481.3994
lrgeoemtry,0.01570%,479.7122
tensintom,0.01570%,479.6789
czb0907,0.01570%,479.6789
kevinwxt,0.01570%,479.6789
cherstering,0.01570%,479.6789
filipo-tu,0.01570%,479.6789
con322,0.01570%,479.6789
hardyyer,0.01570%,479.6789
tianmingyun,0.01570%,479.6789
liuweicomg666,0.01570%,479.6789
jojodesus,0.01570%,479.6789
yaod8,0.01570%,479.6789
zhangsen1979,0.01570%,479.6789
hhh111686868,0.01570%,479.6789
lxzlll,0.01570%,479.6789
waffi1998,0.01570%,479.6789
tedko,0.01570%,479.3521
vikaskyadav,0.01570%,479.2526
kn2121,0.01560%,478.8259
yanikkoval,0.01560%,478.62
lumberg,0.01560%,477.9781
uivlis,0.01560%,477.5659
ethgasstation,0.01560%,477.453
nicolas-law,0.01560%,477.1139
provatidis,0.01560%,476.9864
psswrd12345,0.01560%,476.3851
albertinim211,0.01560%,475.9172
asselstine,0.01550%,475.2427
dievardump,0.01550%,475.0864
mastacs,0.01550%,475.0706
hadlocna,0.01550%,475.0569
tysonccy,0.01550%,474.6473
poopster1,0.01550%,474.5972
ceazor,0.01550%,473.3604
ranama,0.01550%,473.1088
markvankempen,0.01540%,472.1745
devindelhi,0.01540%,471.6398
pythonpete32,0.01540%,471.0171
jay-prime,0.01540%,470.7349
tgwinly,0.01540%,470.4976
vylettmonstr,0.01540%,470.4976
leofantast,0.01540%,470.4976
6.95E+08,0.01540%,470.4976
bossssssout,0.01540%,470.4976
cdyfng,0.01540%,470.4976
maximfmai,0.01540%,470.1497
dmats,0.01530%,469.3433
jackrose0503,0.01530%,469.3361
jordimorris,0.01530%,469.071
masaun,0.01530%,469.0459
baiyongzhong8020,0.01530%,468.7771
yongxi-huang,0.01530%,468.7771
rangoscq1988,0.01530%,468.7771
karryzhong,0.01530%,468.7771
chanmayson,0.01530%,468.7771
jiangzhanwei,0.01530%,468.7771
guoshuishou,0.01530%,468.7771
turbo-a,0.01530%,468.7771
abceich,0.01530%,468.7771
stephenzk,0.01530%,468.7771
traviswho,0.01530%,468.7771
doquocdung1995,0.01530%,468.7771
7x5678,0.01530%,468.7771
myndtt,0.01530%,468.7771
tdfw,0.01530%,468.7771
dinyosos,0.01530%,468.7771
johnidyu,0.01530%,468.7771
atkinsonholly,0.01530%,468.6225
vicshineking,0.01530%,468.232
diamw,0.01530%,467.711
abef,0.01530%,467.5012
parrachia,0.01530%,467.3112
shedao3,0.01520%,465.5167
jbaylina,0.01520%,465.443
uiriamusan,0.01520%,464.1792
jeremyongws,0.01510%,463.4282
ganejacks,0.01510%,463.1207
poma,0.01510%,463.0577
fabiotongson,0.01510%,463.037
njzy2069,0.01510%,462.7811
duartefelipe,0.01510%,461.4772
faxpremium,0.01510%,460.714
anthony62039,0.01500%,459.8974
ethereumcn,0.01500%,459.6355
gigiknight,0.01500%,457.8753
tongli023,0.01500%,457.8753
xiaodongq,0.01500%,457.8753
daveinfame,0.01500%,457.8753
chrisx888,0.01500%,457.8753
bigzenos,0.01500%,457.8753
sw504922,0.01500%,457.8753
xmrjun,0.01500%,457.8753
philipwwzp,0.01500%,457.8753
cruelgungg,0.01500%,457.8753
a1169699144,0.01500%,457.8753
gboss3,0.01500%,457.8753
zhaozhihaojuun,0.01500%,457.8753
nbawyl,0.01500%,457.8753
zavierzhu,0.01500%,457.8753
thahk,0.01500%,457.8753
agency0x,0.01500%,457.6793
onthejourneywisdom,0.01500%,457.5791
jincoingecko,0.01500%,457.5332
wswarren12,0.01490%,457.428
krsrm,0.01490%,456.6448
vinhbhn,0.01480%,452.4691
jackyxu777,0.01480%,452.1352
build4kien,0.01480%,452.0696
jjmstark,0.01480%,451.7272
cryptohegel,0.01470%,450.0773
xiaomaogy,0.01470%,448.708
bicointomoon,0.01470%,448.694
fogfx77,0.01470%,448.694
tze42,0.01470%,448.5895
jppade,0.01470%,448.4842
sugsss,0.01460%,448.1059
gojackzi,0.01460%,447.8338
aspiers,0.01460%,447.8239
teawaterwire,0.01460%,447.6718
gabrielllemic,0.01460%,447.6008
jahfred,0.01460%,447.5612
cornellioss,0.01460%,447.5602
leibniz137,0.01460%,447.2909
0xseraphim,0.01460%,446.9735
heweiyuan111,0.01460%,446.9735
cookie-zoom,0.01460%,446.9735
yoeugene,0.01460%,446.9735
boll007,0.01460%,446.9735
huangdadou,0.01460%,446.9735
yuenwenho,0.01460%,446.9735
cryptoomega,0.01460%,446.9735
wylnba,0.01460%,446.9735
trent-lee123,0.01460%,446.9735
zhangleifeng999,0.01460%,446.9735
yzy666888,0.01460%,446.9735
full-meme,0.01460%,446.9735
levizheng,0.01460%,446.9735
feihei666,0.01460%,446.9735
jerryliu1119,0.01460%,446.9735
skymoon2019,0.01460%,446.9735
whoryjoertyrt666,0.01460%,446.9735
msi0324,0.01460%,446.9735
paper1225,0.01460%,446.9735
rebers,0.01460%,446.9735
johnleechain,0.01460%,446.9735
2.03E+09,0.01460%,446.9735
strongsupport-everywhere,0.01460%,446.9735
vogue20033,0.01460%,446.9735
crypto-yeyi,0.01460%,446.9735
maweiyao,0.01460%,446.9735
dongyanyh,0.01460%,446.9735
wxjdongzhongshi,0.01460%,446.9735
bobbytian,0.01460%,446.9735
ycbelieve,0.01460%,446.9735
fjs2010,0.01460%,446.9735
sebmonty,0.01460%,446.9735
peterdang68,0.01460%,446.9735
sgn008,0.01460%,446.9735
dongyan1231,0.01460%,446.9735
yuhan123456,0.01460%,446.9735
rinnoen,0.01460%,446.9735
mcaptain6,0.01460%,446.9735
joshkamps,0.01460%,446.9735
cr1sus,0.01460%,446.9735
kennod,0.01460%,446.9735
yvanche,0.01460%,446.9735
mcaptain5,0.01460%,446.9735
nikokvcs,0.01460%,446.9735
johnson-xin,0.01460%,446.9735
mcaptain4,0.01460%,446.9735
wumaimai2020,0.01460%,446.9735
shuaigua,0.01460%,446.9735
bitnuller,0.01460%,446.9735
lj35139816,0.01460%,446.9735
mcaptain12,0.01460%,446.9735
mcaptain15,0.01460%,446.9735
ritsu-cyan,0.01460%,446.9735
iesua-lab,0.01460%,446.9735
charliephy,0.01460%,446.9735
nvee1,0.01460%,446.9735
ricardorose,0.01460%,446.9735
yanganming,0.01460%,446.9735
sunjinhyeong,0.01460%,446.9735
cloudion,0.01460%,446.9735
gfsventures,0.01460%,446.9735
kofeee,0.01460%,446.9735
hngtao,0.01460%,446.9735
mezafaust,0.01460%,446.9735
vance46,0.01460%,446.9735
bezelrice,0.01460%,446.9735
giochiotoxu,0.01460%,446.9735
shambraha,0.01460%,446.9735
rainbowgorg,0.01460%,446.9735
mendellez,0.01460%,446.9735
portrayrouge,0.01460%,446.9735
fanghao-1234,0.01460%,446.9735
hao0fan9,0.01460%,446.9735
fangxiangft,0.01460%,446.9735
dotmoon123,0.01460%,446.9735
panli2345,0.01460%,446.9735
bridgech3232,0.01460%,446.9735
ialshjl,0.01460%,446.9735
provt,0.01460%,446.9735
itubertm,0.01460%,446.9735
duytang88,0.01460%,446.9735
cabel1118,0.01460%,446.9735
liang778899,0.01460%,446.9735
e1winjin,0.01460%,446.9735
a4097076,0.01460%,446.9735
lin27,0.01460%,446.9735
qwad1234,0.01460%,446.9735
harryyeye,0.01460%,446.9735
tanghaijun216,0.01460%,446.9735
nancysun2020,0.01460%,446.9735
wuchouk,0.01460%,446.9735
zfy666ci,0.01460%,446.9735
prasety4,0.01460%,446.9735
kuaiqqq,0.01460%,446.9735
mornpine,0.01460%,446.9735
hwz123444,0.01460%,446.9735
alongdlut,0.01460%,446.9735
linsola,0.01460%,446.9735
ttname,0.01460%,446.9735
evolut1on1994,0.01460%,446.9735
johnny65332,0.01460%,446.9735
prettyboy6688,0.01460%,446.9735
0xsiam,0.01460%,446.9735
nguyentheloc,0.01460%,446.9735
gooodd,0.01460%,446.9735
jiaoxing1688,0.01460%,446.9735
dengtianyuan,0.01460%,446.9735
cclove0806,0.01460%,446.9735
pak998,0.01460%,446.9735
xulinhu,0.01460%,446.9735
zxroom,0.01460%,446.9735
rocky-zx,0.01460%,446.9735
haohaizi1997,0.01460%,446.9735
jianan-xu,0.01460%,446.9735
jiangqiqi,0.01460%,446.9735
james198424,0.01460%,446.9735
feiheiovo,0.01460%,446.9735
xiangzeng,0.01460%,446.9735
luoyumo,0.01460%,446.9735
lw20160709,0.01460%,446.9735
qqjay,0.01460%,446.9735
cherries123,0.01460%,446.9735
shuidishui,0.01460%,446.9735
l2jeffrey,0.01460%,446.9735
emjicy,0.01460%,446.9735
0xmonke,0.01460%,446.9735
pillarchy,0.01460%,446.9735
andabelieve,0.01460%,446.9735
cusomeday,0.01460%,446.9735
fengqingyundanf,0.01460%,446.9735
mdu,0.01460%,446.9735
yuxuanlele,0.01460%,446.9735
lucatoni-tech,0.01460%,446.9492
owain777,0.01460%,446.4053
mbeylin,0.01460%,445.9741
ezoia-com,0.01460%,445.541
bobjiang,0.01460%,445.4932
chientze,0.01450%,444.6859
kisgus,0.01450%,443.9161
jrmr92,0.01450%,442.2694
the-munter,0.01440%,440.3808
hjubb,0.01440%,440.3731
llago2008,0.01440%,440.3731
trentelmore,0.01440%,440.3312
calebsheridan,0.01440%,440.0233
dergrinsekatze,0.01440%,439.8543
maurelian,0.01440%,439.6645
chauhuynh17071994,0.01430%,438.847
yangwao,0.01430%,438.4185
xiangjun-lin,0.01430%,438.3561
the-digital-asset-group,0.01430%,438.1334
codeyield,0.01430%,437.7923
yydjjy,0.01430%,437.7923
janus,0.01430%,437.7311
oputae,0.01430%,436.3611
graxxx,0.01430%,436.3512
stevewonderx,0.01430%,436.0717
lily576,0.01430%,436.0717
noinif,0.01430%,436.0717
ameethdevadas,0.01430%,436.0717
tony-mask,0.01430%,436.0717
qianqian1212,0.01430%,436.0717
qiuqiu66666,0.01430%,436.0717
elainegogo,0.01430%,436.0717
marstome,0.01430%,436.0717
suze2017,0.01430%,436.0717
lrpioneer,0.01430%,436.0717
knowledgecell,0.01430%,436.0717
zdxxxxx,0.01430%,436.0717
liang668899,0.01430%,436.0717
gkimbwala,0.01430%,436.0717
zalr,0.01430%,436.0717
jasonhuangz,0.01430%,436.0717
sebimale,0.01430%,436.0717
zz1210,0.01430%,436.0717
afg-15,0.01430%,436.0717
raindong809,0.01430%,436.0717
yuancj123,0.01430%,436.0717
lingdake007,0.01430%,436.0717
yangflag888,0.01430%,436.0717
jakie008,0.01430%,436.0717
okbtc1,0.01430%,436.0717
kljcju32,0.01430%,436.0717
feixiuzhi15152185,0.01430%,436.0717
taiyan41566345,0.01430%,436.0717
cheezeeche,0.01430%,436.0717
twoonebarrels,0.01430%,436.0717
qq916159055,0.01430%,436.0717
yangmi1465841,0.01430%,436.0717
bossk26265,0.01430%,436.0717
xiaowu165451,0.01430%,436.0717
zhuqing156426,0.01430%,436.0717
rongrong164216,0.01430%,436.0717
hongjun154213221,0.01430%,436.0717
tangsan0158464,0.01430%,436.0717
aosika185163216,0.01430%,436.0717
petrlisovets1,0.01430%,436.0717
tailong12515,0.01430%,436.0717
xiangzhu1646459,0.01430%,436.0717
dashi4545646,0.01430%,436.0717
liuerlong16541654,0.01430%,436.0717
fulande141564,0.01430%,436.0717
zhaowuji1546546,0.01430%,436.0717
jueqi16888,0.01430%,436.0717
yueguan016846,0.01430%,436.0717
guidouluo54746,0.01430%,436.0717
dudouluo215626,0.01430%,436.0717
jiandouluo31694,0.01430%,436.0717
dasange666,0.01430%,436.0717
gudouluo15464564,0.01430%,436.0717
shinian65496496,0.01430%,436.0717
luosanpao5848552,0.01430%,436.0717
tangliang88,0.01430%,436.0717
sentisoft,0.01430%,436.0717
xufeid,0.01430%,436.0717
danpoby,0.01430%,436.0717
defigood,0.01430%,436.0717
uwuquant,0.01430%,436.0717
jerdudez,0.01430%,436.0717
cursorch,0.01430%,436.0717
gitdeej,0.01430%,436.0717
peterchen145,0.01430%,436.0717
robertrobertsoniv,0.01430%,436.0717
seikensk,0.01430%,436.0717
34-tzjc,0.01430%,436.0717
36-141116,0.01430%,436.0717
yutian8448,0.01430%,436.0717
37-nvcs7,0.01430%,436.0717
39-226565,0.01430%,436.0717
tommy282,0.01430%,436.0717
ioiiiii,0.01420%,435.1969
klongrich,0.01420%,434.7571
danylostefan,0.01410%,432.7521
fscwx,0.01410%,432.5286
kinchasa,0.01410%,432.3227
drzman07,0.01410%,431.9647
qiufl,0.01410%,430.8933
pooltogether-team,0.01410%,430.7424
arthcp,0.01410%,430.5024
kingjacob,0.01410%,430.3003
nelook,0.01400%,429.382
kirill123123,0.01400%,427.4495
taoba163,0.01390%,426.288
unlearn24,0.01390%,426.0085
wakeful156,0.01390%,425.7361
dcarmitage,0.01390%,425.7337
ansonwu998,0.01390%,425.729
qintai2018,0.01390%,425.1699
gaoxing-ok,0.01390%,425.1699
zenghl27,0.01390%,425.1699
mr-btcoin,0.01390%,425.1699
hanweilang,0.01390%,425.1699
commandkes,0.01390%,425.1699
lousg,0.01390%,425.1699
xingkai928,0.01390%,425.1699
xifengdl,0.01390%,425.1699
henry-001,0.01390%,425.1699
guang5499,0.01390%,425.1699
l1291121,0.01390%,425.1699
qqqqqqqqwwwwwwww,0.01390%,425.1699
jiuyou1993,0.01390%,425.1699
hufan2,0.01390%,425.1699
