handle,token_proportion,tokens
robin-thomas,0.05%,159.2572376
willyogo,0.05%,158.7340984
mybit-coordinator,0.05%,158.4903727
danbainbridge,0.05%,157.0584631
b-mueller,0.05%,156.6205687
wslyvh,0.05%,156.6105896
think-in-universe,0.05%,156.5926612
cryptomaniac31,0.05%,156.054638
infa-sdiwan,0.05%,155.5086653
phoenixfire0007,0.05%,155.5086653
nukemandan,0.05%,155.5086653
graeme-code,0.05%,155.4428712
grsearch,0.05%,155.1040908
emilianobonassi,0.05%,155.0009176
someresat,0.05%,154.8505552
cryptomental,0.05%,153.9427996
smiled0g,0.05%,153.3234217
ryan-foamspace,0.05%,153.1757656
nazariyv,0.05%,152.2228505
nammage,0.05%,151.6440654
hexpumpseth3,0.05%,150.6828627
ridesolo,0.05%,150.4411666
pinkiebell,0.05%,150.4049714
nionis,0.05%,149.8635655
x5engine,0.05%,148.0012035
avive,0.05%,147.7102887
polats,0.05%,146.4799898
ricburton,0.04%,145.7785807
pakokrew,0.04%,144.8221138
defigod1,0.04%,143.8040812
luzzif,0.04%,143.7660255
solsista,0.04%,143.2088899
evesnow91,0.04%,142.9727753
luukdao,0.04%,142.0222282
whsieh2,0.04%,141.7938939
peth-yursick,0.04%,141.4821753
deepcryptodive,0.04%,140.9157372
crisgarner,0.04%,140.5389011
kfichter,0.04%,140.0632892
anonusergitcoin46-e5xobkeuavkwew5yuorfglar4lznz0xg,0.04%,139.5418414
jonsnowwhitepaper,0.04%,139.4530447
brianspha,0.04%,138.6340858
humanific,0.04%,137.8007503
adityapk00,0.04%,135.7974975
dcinvestor,0.04%,134.6580249
anish-agnihotri,0.04%,133.7242223
liquidityvision,0.04%,133.6176663
mekyle,0.04%,133.5048523
ggabriel8,0.04%,130.5879242
developerfred,0.04%,130.1620385
hthillman,0.04%,130.0277441
0xeffalt,0.04%,129.3951736
stevegachau,0.04%,129.3921291
liviade1,0.04%,128.4420894
k-ho,0.04%,128.232191
harmonylion,0.04%,128.1731624
btcalchemist,0.04%,127.6009736
jwasinger,0.04%,127.2155115
thefallentree,0.04%,126.8755471
troggy,0.04%,126.8686125
hilmarx,0.04%,126.3376931
kamescg,0.04%,126.2850916
carlmorgan666,0.04%,125.8855912
mswilkison,0.04%,124.7461186
andrealanfranchi,0.04%,124.044033
amsos,0.04%,123.8748965
asselstine,0.04%,122.7895476
0zand1z,0.04%,122.7432042
alanstillwater,0.04%,122.6848521
julietea,0.04%,122.3614631
datakarima,0.04%,121.5362461
jppade,0.04%,120.9828315
tomkysar,0.04%,120.7749627
nsexer,0.04%,120.5097567
seanli,0.04%,120.4443008
thelostone-mc,0.04%,120.1748664
jeff-emmett,0.04%,120.1704689
randall-mitchell,0.04%,119.7620042
marcoosh,0.04%,119.1348461
tkzktk,0.04%,118.3955504
lucasvo,0.04%,118.3955504
kisgus,0.04%,117.7820923
amcassetti,0.04%,116.361684
koltenb,0.04%,115.9684416
paulmillr,0.04%,114.7504897
aquiladev,0.04%,114.4763194
eshon,0.04%,114.4078191
sollybolly,0.03%,113.2465279
destiner,0.03%,113.0354456
jaschlan,0.03%,112.9968825
mattnumber,0.03%,112.2968265
kitartoan,0.03%,112.2919215
national-applied-research,0.03%,111.8286566
owans,0.03%,111.1739292
dereksilva,0.03%,110.6250813
mladenpetronijevic,0.03%,110.1178409
commanderzed,0.03%,110.1112446
itamarl,0.03%,107.6085318
josh-richardson,0.03%,107.2044647
azizyano,0.03%,106.8655152
moranthomas,0.03%,106.7011145
hagaetc,0.03%,106.6916428
virtual-face,0.03%,106.2547633
giorgosn,0.03%,105.7289179
joshblaylock,0.03%,105.6952597
garoth,0.03%,104.9754148
denhampreen,0.03%,104.6036527
currencytycoon,0.03%,104.3839444
k06a,0.03%,104.3819148
musatheredguard,0.03%,104.0125207
ismailemin,0.03%,103.8202125
reneil1337,0.03%,103.4978383
x-c-o-p-y,0.03%,103.3193993
slread,0.03%,103.2449792
shanghaitechcon,0.03%,102.848185
daisocola,0.03%,102.7280981
lukeology,0.03%,102.6110556
protocol-labs,0.03%,101.4819004
richardpringle,0.03%,101.4819004
wysie,0.03%,101.4819004
cryptobanjo,0.03%,100.7968975
mariapaulafn,0.03%,99.67805958
robypsi,0.03%,99.17876863
kgibb8,0.03%,98.6503862
t-g-t,0.03%,98.09917034
thec00n,0.03%,98.09917034
mul53,0.03%,98.03236142
mrchico,0.03%,97.79286414
miesz-ko,0.03%,97.67734391
mraof,0.03%,97.61679304
connorchristie,0.03%,97.33636472
michwill,0.03%,97.1750085
proofoftom,0.03%,97.05576727
panjevic,0.03%,96.86041461
audsssy,0.03%,96.60231231
cspannos,0.03%,96.47258462
graham-u,0.03%,96.14513635
andersonmmi,0.03%,95.96855784
cryptowarlordd,0.03%,95.85303761
colfax23,0.03%,95.81159917
wesdoteth,0.03%,95.50580038
nighthawk24,0.03%,95.09649005
evgeniuz,0.03%,94.89690898
raphael-mazet,0.03%,94.51652099
hamzaghz,0.03%,94.23135685
zkeducation,0.03%,94.1899184
vpepo,0.03%,94.07304508
krzkaczor,0.03%,93.47666978
jasoons,0.03%,93.28402331
abouspeedalcuber,0.03%,93.19032169
aswilson13,0.03%,93.04993839
jacksanford1,0.03%,92.73145436
shroomdaddy,0.03%,92.69035419
sunnyrk,0.03%,92.20966826
garthtravers,0.03%,91.82894199
tbenr,0.03%,91.82285308
paulgambill,0.03%,91.5782817
darrenlautf,0.03%,91.49371345
chefchansey,0.03%,91.41269706
timdaub,0.03%,91.13954162
jsdu,0.03%,90.07381253
pascaltallarida,0.03%,89.75651245
pents90,0.03%,89.20056077
davidhq,0.03%,88.5148814
carlolm,0.03%,88.16848985
azeemfi,0.03%,87.95098031
adamsc1-ddg,0.03%,87.67816313
andrewxhill,0.03%,87.42868679
anurag-arjun,0.03%,86.52685097
xnikosv,0.03%,86.27297708
djrosenbaum,0.03%,86.2596153
virgil,0.03%,86.07441083
levalleux-ludo,0.03%,85.92523244
thisboyongithub,0.03%,85.51998138
tomcbean,0.03%,85.47143921
sourcex4447,0.03%,85.33511519
anonusergitcoin18-ezhk9f0hu5m2ipnxm4urpzzcjthpp1mx,0.03%,85.24530371
midenaio,0.03%,84.88588864
alchemydc,0.03%,84.7480424
gedbrewis,0.03%,84.5682503
shrey572,0.03%,84.5682503
anonusergitcoin17-9bmxewua7tt1ubzowa041eby3j5ifa4j,0.03%,84.5682503
viraj124,0.03%,84.45932639
jrhea,0.03%,83.9135229
waqaslux,0.03%,83.90422039
pascal0x,0.03%,83.57085235
bobface,0.03%,83.55343129
vbuterin,0.03%,82.82766657
augustol,0.03%,82.80669364
seichris,0.03%,82.69371046
shayanb,0.03%,82.53235424
writeprovidence,0.03%,82.48651825
nuttycom,0.03%,82.15095143
tima-t,0.03%,81.56878359
johngrantuk,0.03%,81.5442588
ryder1212,0.03%,81.4640881
marlostan,0.03%,81.25317488
kirillberesnev,0.03%,80.99304295
ririen,0.02%,80.7041578
craze3,0.02%,80.01763275
comets1,0.02%,79.9298509
skywinder,0.02%,79.80688867
elektronaut0815,0.02%,79.14471927
tarun1475,0.02%,78.88560215
benoxmo,0.02%,78.72627556
geleeroyale,0.02%,78.57185394
vyomshm,0.02%,78.45362753
nearmax,0.02%,78.25438473
davis-ramsey,0.02%,78.00457012
dhruvluci,0.02%,77.97125023
chanak46,0.02%,77.88279184
jmahhh,0.02%,77.87687206
fusan,0.02%,77.72448007
npashuk,0.02%,77.68033545
emansipater,0.02%,77.58291282
ckxpress,0.02%,77.56735226
lemogras,0.02%,77.26933375
jaspervdm,0.02%,77.09664538
osumcom,0.02%,76.87964325
l-kh,0.02%,76.15201803
souptacular,0.02%,76.14457602
sebaudet26,0.02%,76.05628677
frostiq,0.02%,75.70228407
kunsachdeva,0.02%,75.43555581
yehorhromadskyi,0.02%,75.0842593
cinnamon221,0.02%,75.0842593
hexloveseth,0.02%,74.99867623
brantlymillegan,0.02%,74.94759701
esengulov,0.02%,74.81008903
gnosisecosystemfund,0.02%,74.5323669
liyizhou1975,0.02%,74.14707395
alex-nugget,0.02%,72.95973571
walidmujahid,0.02%,72.94265293
jonathanpdunne,0.02%,72.85182663
ethwarrior,0.02%,72.57681068
frankchen07,0.02%,72.56970694
otherbright,0.02%,72.49647084
niran,0.02%,72.24597968
50nemesis,0.02%,72.06821722
xinshudong,0.02%,71.55370398
proy24,0.02%,71.44325785
vhnatyk,0.02%,71.42059356
yurayasinskyy,0.02%,71.0292117
burningtree,0.02%,71.0292117
markharding,0.02%,70.94176813
shanefontaine,0.02%,70.93364957
frdra,0.02%,70.72544254
hewigovens,0.02%,70.64019774
anthonygraignic,0.02%,69.75189284
jaybondar,0.02%,69.48736336
jschiarizzi,0.02%,69.3665999
keviinfoes,0.02%,69.32025649
imerkle,0.02%,69.27814151
protolambda,0.02%,68.45664552
koushik-muthe,0.02%,68.40962557
thekidconnect,0.02%,68.37224641
g-r-a-n-t,0.02%,68.35786981
andreid,0.02%,67.91676181
matkt,0.02%,67.70906219
luksonetwork,0.02%,67.65460024
kaythxbye,0.02%,67.53941828
carusosa,0.02%,67.5015317
lalleclausen,0.02%,67.40292512
crypto-guys,0.02%,67.25171709
bhargavasomu,0.02%,66.88672052
gilsoncarlos,0.02%,66.4904337
deahow,0.02%,66.43698657
uivlis,0.02%,66.28341063
ryanleecode,0.02%,66.04458989
acolytec3,0.02%,66.02260214
nicemarcela,0.02%,65.70293416
dekanbro,0.02%,65.44415531
zuniswap,0.02%,65.24609647
fantomvalidator,0.02%,64.69809421
barrasso,0.02%,64.27187022
thecydonian,0.02%,63.94678987
travisdmathis,0.02%,63.91346998
erickpinos,0.02%,63.61443665
wzhylx,0.02%,63.42381981
vertis,0.02%,63.36885045
manishoo,0.02%,63.15472364
nglglhtr,0.02%,62.90423248
freedumbs00,0.02%,62.58676327
fruktozamin,0.02%,62.49356906
mikery,0.02%,62.49187769
white-rabbit-7,0.02%,62.2449384
zombiehobbes,0.02%,62.20349996
roderik,0.02%,62.20349996
cslarson,0.02%,62.04146719
pumpkingwok,0.02%,61.96417181
skyminert,0.02%,61.79689581
cryptoouf-blog,0.02%,61.6040802
alexmasmej,0.02%,61.27578625
krisjpi,0.02%,61.19967483
yacare555,0.02%,61.19071059
evgenyponomarev,0.02%,61.18495995
aliceasuna94,0.02%,60.94664662
ajsantander,0.02%,60.80338801
mikehibbert,0.02%,60.79611514
sembrestels,0.02%,60.43433216
czepluch,0.02%,60.39255545
anajolsson,0.02%,60.29191923
tspoff,0.02%,59.93504121
alexwaumann,0.02%,59.9132226
nearnshaw,0.02%,59.89816946
fvictorio,0.02%,59.83339018
ashutoshvarma,0.02%,59.66374627
echolon166,0.02%,59.37130926
aantonop,0.02%,59.35811661
bokunobaka,0.02%,59.22162345
johc8dw9bn,0.02%,59.09324885
davidiach,0.02%,59.03083748
iomail-one,0.02%,58.97316193
ntomaino,0.02%,58.85950221
mervyn853,0.02%,58.76918331
pbteja1998,0.02%,58.53729717
vporton,0.02%,58.20781927
omnianalytics,0.02%,57.97339608
eth-swarm,0.02%,57.94312065
pikk0n,0.02%,57.72561111
sebastiantf,0.02%,57.65119105
jmb-42,0.02%,57.50860898
osinachiart,0.02%,57.5064102
jordimorris,0.02%,57.37397632
sonofishtar,0.02%,57.15494455
romkobuzzle,0.02%,56.99578711
tharamalai,0.02%,56.92914732
tomteman,0.02%,56.8298642
lychees,0.02%,56.69218709
gturkoglu,0.02%,56.65277828
earldd,0.02%,56.54571488
