handle,user_id,total,active_user,kernel,GMV
pixelantdesign,1386,434763001200000040960,96490000000000000000,0,338273001200000040960
benjaminion,17668,381457761700000038912,44080000000000000000,0,337377761700000038912
manualzuru,72635,368383873400000016384,34159999999999995904,0,334223873400000020480
jtraversa,88781,351005450700000002048,25850000000000000000,0,325155450700000002048
lorelei1,72477,359043672099999969280,36189999999999995904,0,322853672099999973376
bshater,125337,316100739000000024576,292617000000000000,0,315808122000000024576
headiextb,125333,311309778499999993856,292617000000000000,0,311017161499999993856
kingofitall,125211,311602395499999993856,585234000000000000,0,311017161499999993856
xx2122,125245,311309778499999993856,292617000000000000,0,311017161499999993856
rekpero,60665,320717161499999993856,9700000000000000000,0,311017161499999993856
briangu33,72907,318614732900000005120,8539999999999998976,0,310074732900000006144
haydenadams,26637,312760783899999993856,6780000000000000000,0,305980783899999993856
gnosispm,110559,306489169000000020480,923446000000000000,0,305565723000000020480
iamdefinitelyahuman,63553,312662001999999991808,7100000000000000000,0,305562001999999991808
pipermerriam,26,310972965400000004096,11280000000000000000,0,299692965400000004096
binancefellowshipgrants,59287,301353698200000004608,4190000000000000512,0,297163698200000004096
atlanticcrypto,52844,298607860599999954944,1570000000000000000,0,297037860599999954944
tsnark,85217,321362763399999981568,13970000000000000000,13940934900000000000,293451828499999981568
yoavw,74023,294800047099999977472,1630000000000000000,0,293170047099999977472
harshrajat,74648,363248396099999965184,70180000000000008192,0,293068396099999956992
zoek1,2358,339831104999999995904,48780000000000000000,0,291051104999999995904
economicsdesign,129477,286875262700000010240,285302000000000000,0,286589960700000010240
anneconnelly,70927,303694893100000018432,20020000000000000000,0,283674893100000018432
solexplorer,62073,328307598899999997952,46810000000000000000,0,281497598899999997952
calbeans,107881,280773631500000002048,2150000000000000000,0,278623631500000002048
5chdn,26791,274081467900000010240,3390000000000000000,0,270691467900000010240
jas0n-f,56218,274359269099999985664,3670000000000000000,0,270689269099999985664
makoto,4324,313035402400000016384,46560000000000000000,0,266475402400000016384
gregthegreek,53412,267171135800000020480,1570000000000000000,0,265601135800000020480
gravenp,72047,277235085900000002048,15050000000000000000,0,262185085900000002048
directdimsim,66962,284481908499999981568,23690000000000000000,0,260791908499999981568
lamboshinakaghini,66697,280505818099999997952,19800000000000000000,0,260705818099999997952
homelesswhale,145196,264834750899999997952,11130000000000000000,0,253704750899999997952
lmrank,143861,254275353899999997952,570603000000000000,0,253704750899999997952
donateeth,91635,254385993899999997952,681243000000000000,0,253704750899999997952
anonusergitcoin36-parklqhclkyzx4xp6ycehrcfmbwryirt,86159,254029236600000024576,358313000000000000,0,253670923600000024576
anonusergitcoin6-grn3mhi0pkhr4bpqdae4nndytq37shdp,86129,252762065899999989760,358313000000000000,0,252403752899999989760
anonusergitcoin70-0y3ifc1elzfn8iupxypm3geixwsex6vb,86193,252762065899999989760,358313000000000000,0,252403752899999989760
anonusergitcoin82-xqe9cxgu1ttaukqle7uair38r9bpnp7j,86205,252762065899999989760,358313000000000000,0,252403752899999989760
sirsuhayb,63015,252889272899999989760,485520000000000000,0,252403752899999989760
edmundedgar,137128,251962951900000018432,285302000000000000,0,251677649900000018432
vasa-develop,5628,298795093700000002048,32070000000000000000,15208292600000000000,251516801100000002048
mzargham,60099,298728192000000000000,48520000000000000000,0,250208192000000000000
zashton,95869,254669693900000002048,5500000000000000000,0,249169693900000002048
princenoctisff,125284,249388398199999991808,292617000000000000,0,249095781199999991808
4-1-3-x,66698,282563830700000018432,33750000000000000000,0,248813830700000018432
trustlessstate0x,49909,272124469099999985664,24180000000000000000,0,247944469099999985664
darbsllim,96328,247328042299999989760,323803000000000000,0,247004239299999989760
zcstarr,20921,247088975699999981440,1129999999999999872,0,245958975699999981568
rockmanr,66675,301354328999999995904,56250000000000000000,0,245104328999999995904
mfinestone,72844,370737985799999979520,128910000000000000000,0,241827985799999979520
shazow,31982,243402338900000014336,2760000000000000000,0,240642338900000014336
daft-wullie,89340,249881045599999983616,9430000000000000000,0,240451045599999983616
itsbdell,59836,238194764600000020480,0,0,238194764600000020480
tokenbrice,69513,310022987900000018432,71870000000000008192,0,238152987900000010240
vbstreetz,74811,252805015000000004096,15860000000000000000,0,236945015000000004096
ivshti,20531,243857628099999989760,7350000000000000000,0,236507628099999989760
ethereumcn,73034,251390370500000022528,16270000000000000000,0,235120370500000022528
xychun,89949,240620277900000002048,6990000000000000000,0,233630277900000002048
rexshinka,16858,265767380099999989760,32210000000000000000,0,233557380099999989760
jthiel78,125248,244611924199999995904,11120000000000000000,0,233491924199999995904
siddharth-j,62929,235417378499999989760,1940000000000000000,0,233477378499999989760
apesznz,124968,234185974099999981568,1170000000000000000,0,233015974099999981568
finematics,91101,239196109800000028672,6810000000000000000,0,232386109800000028672
samparsky,526,242358134700000018432,10210000000000000000,0,232148134700000018432
nasehim7,10974,231783655799999975424,594525000000000000,0,231189130799999975424
zyfrank,16049,254062199900000026624,23770000000000000000,0,230292199900000026624
juliebissinger,85613,229409688200000012288,1070000000000000000,0,228339688200000012288
ribbonblockchainrsa,62555,234644275800000004096,6310000000000000000,0,228334275800000004096
angelakte,72773,281365806500000006144,53680000000000000000,0,227685806500000006144
pepem00n,109120,228702733799999995904,2460000000000000000,0,226242733799999995904
theperegrineco,5596,225940317799999995904,0,0,225940317799999995904
ecrivaine,93706,237742975399999995904,14280000000000000000,0,223462975399999995904
jespow,86977,226794648299999985664,7520000000000000000,0,219274648299999985664
stevenjnpearce,3144,242935313900000018432,24220000000000000000,0,218715313900000018432
dievardump,90302,258029984900000002048,13970000000000000000,29149227499999997952,214910757400000004096
spencer12noon,66276,311088884099999989760,99000000000000000000,0,212088884099999989760
bluzelle-team,80436,213426582699999985408,2259999999999999744,0,211166582699999985664
zengmi2140,71332,223247314300000010240,12510000000000000000,0,210737314300000010240
shenanigandapp,79418,208616261299999981568,376924000000000000,0,208239337299999981568
fifikobayashi,72551,208939750000000008192,1220000000000000000,0,207719750000000008192
man-jain,63121,221374540800000000000,14080000000000000000,0,207294540800000000000
econoar,9015,247746749600000016384,41020000000000000000,0,206726749600000016384
crypcade,90211,206991259100000014336,340621000000000000,0,206650638100000014336
madeoftin,9838,247547845000000012288,41020000000000000000,0,206527845000000012288
spolrot,66908,292067210399999983616,85560000000000000000,0,206507210399999983616
ditchfieldcaleb,78381,209532213799999995904,3390000000000000000,0,206142213799999995904
followthechain,41496,227971057700000006144,22570000000000000000,0,205401057700000006144
jay-prime,59428,218361500000000016384,17370000000000000000,0,200991500000000016384
medvedev1088,8668,206594238700000018432,6100000000000000000,0,200494238700000018432
viraja1,63012,216466050700000002048,18450000000000000000,0,198016050700000002048
judokick,92581,202975077699999989760,4980000000000000000,0,197995077699999989760
michaelis,90464,207289464900000022528,10900000000000000000,0,196389464900000022528
gitcointorch,66570,199281797799999995904,3600000000000000000,0,195681797799999995904
0xkiwi,8088,224385867099999993856,29270000000000000000,0,195115867099999993856
innoprenuer,5239,197121577600000000000,5130000000000000000,0,191991577600000000000
sneg55,27653,230939396699999993856,39120000000000000000,0,191819396699999993856
curadai,73112,195254138399999983616,5290000000000000000,0,189964138399999983616
nanspro,5433,228254037400000004096,39130000000000000000,0,189124037400000004096
cloudydata,39168,189330809700000010240,537265000000000000,0,188793544700000010240
abashd,125326,187678776899999993856,292617000000000000,0,187386159899999993856
olivera1234,124991,186902947700000002048,292617000000000000,0,186610330700000002048
blocknerds,4790,187930330700000002048,1320000000000000000,0,186610330700000002048
michaelcohen716,59533,213120150599999979520,27070000000000000000,0,186050150599999979520
dan-nolan,8752,186692981600000016384,1830000000000000000,0,184862981600000016384
jon-tompkins,72867,188100972899999973376,3250000000000000000,0,184850972899999973376
pelsasser,554,283398131599999991808,98970000000000000000,0,184428131599999991808
typto,76583,208602081500000026624,24360000000000000000,0,184242081500000026624
karunamudita,139456,201020087500000002048,17120000000000000000,0,183900087500000002048
aliatiia,85336,206261422400000000000,24370000000000000000,0,181891422400000000000
aidanok,65442,182852220500000014336,2310000000000000000,0,180542220500000014336
anonusergitcoin26-f0gjajd4pk2m4r2yxrlvemzou0iquznp,86149,180002418700000006144,358313000000000000,0,179644105700000006144
anonusergitcoin67-lk9ra3lohr7uevgi93aib7d1tcqxlqjm,86190,178858210299999981568,358313000000000000,0,178499897299999981568
masaun,10842,199309897299999981568,20810000000000000000,0,178499897299999981568
robsecord,72248,287097974700000018432,91090000000000000000,17743008000000000000,178264966700000018432
afriblockchain,62590,177534226099999997952,485520000000000000,0,177048706099999997952
twwle,88228,176689129999999987712,698711000000000000,0,175990418999999987712
penandlim,89796,182270440000000000000,6290000000000000000,0,175980440000000000000
stefanionescu,3311,195616604800000000000,20070000000000000000,0,175546604800000000000
musnit,69706,177286935299999989760,2140000000000000000,0,175146935299999989760
schaeff,22380,174842575499999981568,565171000000000000,0,174277404499999981568
hsuantingchu,94635,173399677099999993856,332106000000000000,0,173067571099999993856
tze42,80834,185766010700000002048,13570000000000000000,0,172196010700000002048
bruce-jun,78508,173296122300000010240,1880000000000000000,0,171416122300000010240
liz315,77305,172569695199999983616,1160000000000000000,0,171409695199999983616
mvglasenapp,8810,171849990400000008192,609770000000000000,0,171240220400000008192
chrischinchilla,41732,186123261700000022528,15040000000000000000,0,171083261700000022528
gabrielllemic,66366,184060871299999989760,13050000000000000000,0,171010871299999989760
marketsclear,72027,186819805200000024576,16270000000000000000,0,170549805200000024576
nicholasnicky,60132,172959083599999991808,2550000000000000000,0,170409083599999991808
mkosowsk,2019,217716912700000010240,48050000000000000000,0,169666912700000010240
cseproton,91630,171683910100000014336,2040000000000000000,0,169643910100000014336
donkeykongey,125316,169721734600000020480,585234000000000000,0,169136500600000020480
jvanoers,5082,169794388600000020480,657888000000000000,0,169136500600000020480
kristofferjon,93079,169800712600000020480,664212000000000000,0,169136500600000020480
linhan,91682,169817743600000020480,681243000000000000,0,169136500600000020480
poison20-star,125235,169429117600000020480,292617000000000000,0,169136500600000020480
stevel247,125297,169721734600000020480,585234000000000000,0,169136500600000020480
villanuevawill,2765,186176500600000020480,17040000000000000000,0,169136500600000020480
santisiri,63253,174184914599999995904,6150000000000000000,0,168034914599999995904
pupunice,125280,168771198299999973376,877851000000000000,0,167893347299999973376
yanivtal,7918,205437558500000006144,38420000000000000000,0,167017558500000006144
eswarasai,615,210649122599999995904,43650000000000000000,0,166999122599999995904
octavioamu,4906,180227859200000000000,15130000000000000000,0,165097859200000000000
wighawag,4244,221855881499999993856,57350000000000000000,0,164505881499999993856
joshuasl,67614,202411427999999983616,38610000000000000000,0,163801427999999983616
moxarra,135526,163452774099999993856,570603000000000000,0,162882171099999993856
atoulme,62468,165393866200000004096,3400000000000000000,0,161993866200000004096
sammdec,126062,161996414100000018432,292617000000000000,0,161703797100000018432
xbrucethegoose,90808,168283433199999975424,6810000000000000000,0,161473433199999975424
daneok1,72572,182070512800000016384,20740000000000000000,0,161330512800000016384
haoyun-ethplanet,76843,169979802799999975424,9280000000000000000,0,160699802799999975424
409h,141,180045109500000010240,20420000000000000000,0,159625109500000010240
robin-thomas,19943,164347237599999983616,5090000000000000000,0,159257237599999983616
willyogo,54770,208494098399999983616,49760000000000000000,0,158734098399999983616
mybit-coordinator,16181,177620372699999993856,19130000000000000000,0,158490372699999993856
danbainbridge,79921,157435387100000010240,376924000000000000,0,157058463100000010240
b-mueller,3858,197110568700000010240,40490000000000000000,0,156620568700000010240
wslyvh,11214,202980589599999983616,46370000000000000000,0,156610589599999983616
